waveform	Gen		Ch1	
t0	12.05.2019  14:37:57,033857		12.05.2019  14:37:57,033845	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:57,046017	3,492944E-3	12.05.2019  14:37:57,046005	1,217410E-3
12.05.2019  14:37:57,046097	3,818020E-3	12.05.2019  14:37:57,046085	2,192639E-3
12.05.2019  14:37:57,046177	2,842791E-3	12.05.2019  14:37:57,046165	2,192639E-3
12.05.2019  14:37:57,046257	2,192639E-3	12.05.2019  14:37:57,046245	2,192639E-3
12.05.2019  14:37:57,046337	3,167868E-3	12.05.2019  14:37:57,046325	1,867563E-3
12.05.2019  14:37:57,046417	3,167868E-3	12.05.2019  14:37:57,046405	2,517715E-3
12.05.2019  14:37:57,046497	3,167868E-3	12.05.2019  14:37:57,046485	2,192639E-3
12.05.2019  14:37:57,046577	3,167868E-3	12.05.2019  14:37:57,046565	2,192639E-3
12.05.2019  14:37:57,046657	2,842791E-3	12.05.2019  14:37:57,046645	1,542486E-3
12.05.2019  14:37:57,046737	2,842791E-3	12.05.2019  14:37:57,046725	1,542486E-3
12.05.2019  14:37:57,046817	2,842791E-3	12.05.2019  14:37:57,046805	1,867563E-3
12.05.2019  14:37:57,046897	2,842791E-3	12.05.2019  14:37:57,046885	1,867563E-3
12.05.2019  14:37:57,046977	3,167868E-3	12.05.2019  14:37:57,046965	1,867563E-3
12.05.2019  14:37:57,047057	3,167868E-3	12.05.2019  14:37:57,047045	1,542486E-3
12.05.2019  14:37:57,047137	3,492944E-3	12.05.2019  14:37:57,047125	1,867563E-3
12.05.2019  14:37:57,047217	2,517715E-3	12.05.2019  14:37:57,047205	1,542486E-3
12.05.2019  14:37:57,047297	3,492944E-3	12.05.2019  14:37:57,047285	2,192639E-3
12.05.2019  14:37:57,047377	2,842791E-3	12.05.2019  14:37:57,047365	2,192639E-3
12.05.2019  14:37:57,047457	3,492944E-3	12.05.2019  14:37:57,047445	1,542486E-3
12.05.2019  14:37:57,047537	2,842791E-3	12.05.2019  14:37:57,047525	1,867563E-3
12.05.2019  14:37:57,047617	3,492944E-3	12.05.2019  14:37:57,047605	1,867563E-3
12.05.2019  14:37:57,047697	3,492944E-3	12.05.2019  14:37:57,047685	1,867563E-3
12.05.2019  14:37:57,047777	2,842791E-3	12.05.2019  14:37:57,047765	2,192639E-3
12.05.2019  14:37:57,047857	3,492944E-3	12.05.2019  14:37:57,047845	1,867563E-3
12.05.2019  14:37:57,047937	2,842791E-3	12.05.2019  14:37:57,047925	8,923338E-4
12.05.2019  14:37:57,048017	2,842791E-3	12.05.2019  14:37:57,048005	1,867563E-3
12.05.2019  14:37:57,048097	3,818020E-3	12.05.2019  14:37:57,048085	1,217410E-3
12.05.2019  14:37:57,048177	3,492944E-3	12.05.2019  14:37:57,048165	2,517715E-3
12.05.2019  14:37:57,048257	3,492944E-3	12.05.2019  14:37:57,048245	2,192639E-3
12.05.2019  14:37:57,048337	3,167868E-3	12.05.2019  14:37:57,048325	2,192639E-3
